goos: darwin
goarch: arm64
pkg: go.aledante.io/FlowSeer/src/common/smi/bench
cpu: Apple M4 Pro
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4646004	       257.5 ns/op	 753.35 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4680864	       257.6 ns/op	 753.19 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4681996	       257.0 ns/op	 754.86 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=VALUE-ASSIGNMENT-12           	 4672860	       256.8 ns/op	 755.41 MB/s	     592 B/op	       5 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3269863	       365.7 ns/op	 511.41 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3284000	       366.0 ns/op	 510.99 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3281720	       365.6 ns/op	 511.53 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3298916	       367.1 ns/op	 509.45 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3272949	       362.3 ns/op	 516.20 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3259185	       365.7 ns/op	 511.30 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3363352	       361.0 ns/op	 517.98 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3284787	       365.1 ns/op	 512.22 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3268918	       367.1 ns/op	 509.43 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseDecl/macro=TYPE-ASSIGNMENT-12            	 3247264	       370.1 ns/op	 505.33 MB/s	     712 B/op	       8 allocs/op
BenchmarkParseFile/fixture=lancom-oids-12              	     222	   5375052 ns/op	1215.72 MB/s	10232932 B/op	   91615 allocs/op
